invoice_no,branch,service_ref,supplier,payable_date,currency,payable_amount,paid_amount,advance_applied,outstanding_amount
BK-000001,"Imdad International Travel Agency",SV-001,PIA,2026-01-05,PKR,450,0,0,450
BK-000002,"Imdad International Travel Agency",SV-001,"Air Blue",2026-01-25,PKR,800,0,0,800
BK-000003,"Imdad International Travel Agency",SV-001,"Serene Air",2025-12-30,PKR,1700,0,0,1700
BK-000004,"Imdad International Travel Agency",SV-001,PIA,2026-02-10,PKR,1100,0,0,1100
BK-000004,"Imdad International Travel Agency",SV-002,"Dubai Visa Agent",2026-02-10,PKR,600,0,0,600
BK-000005,"Imdad International Travel Agency",SV-001,"Air Blue",2026-02-28,PKR,2400,0,0,2400
BK-000006,"Imdad International Travel Agency",SV-001,PIA,2026-02-15,PKR,1800,0,0,1800
BK-000007,"Imdad International Travel Agency",SV-001,"Serene Air",2026-03-10,PKR,1500,0,0,1500
BK-000008,"Imdad International Travel Agency",SV-001,"Transport Vendor",2026-04-10,PKR,1000,0,0,1000
BK-000009,"Imdad International Travel Agency",SV-001,Emirates,2026-03-05,PKR,4600,0,0,4600
BK-000010,"Imdad International Travel Agency",SV-001,"Hotel Partner",2026-03-20,PKR,1100,0,0,1100
BK-000011,"Noble Route",SV-001,"Dubai Visa Agent",2026-03-15,AED,700,0,0,700
BK-000012,"Noble Route",SV-001,"Umrah Package Supplier",2026-03-01,AED,1200,0,0,1200
BK-000013,"Noble Route",SV-001,Emirates,2026-03-25,USD,220,0,0,220
BK-000014,"Imdad International Travel Agency",SV-001,"Hotel Partner",2026-03-30,PKR,5000,3000,0,2000
BK-000015,"Imdad International Travel Agency",SV-001,"Umrah Package Supplier",2026-03-31,PKR,3500,0,1200,1100
BK-000016,"Imdad International Travel Agency",SV-001,"Dubai Visa Agent",2026-04-15,PKR,500,0,0,500
BK-000017,"Imdad International Travel Agency",SV-001,PIA,2026-03-28,PKR,1400,0,0,1400
BK-000017,"Imdad International Travel Agency",SV-002,"Hotel Partner",2026-03-28,PKR,700,0,0,700
BK-000017,"Imdad International Travel Agency",SV-003,"Transport Vendor",2026-03-28,PKR,300,0,0,300
BK-000018,"Imdad International Travel Agency",SV-001,PIA,2026-03-25,PKR,450,0,0,450
