supplier,branch,currency,total_payable,total_paid,advance_applied,expected_outstanding
Air Blue,Imdad International Travel Agency,PKR,3200,0,0,3200
Dubai Visa Agent,Imdad International Travel Agency,PKR,1100,0,0,1100
Emirates,Imdad International Travel Agency,PKR,4600,0,0,4600
Hotel Partner,Imdad International Travel Agency,PKR,6800,3000,0,3800
PIA,Imdad International Travel Agency,PKR,4750,0,0,4750
Serene Air,Imdad International Travel Agency,PKR,3200,0,0,3200
Transport Vendor,Imdad International Travel Agency,PKR,1300,0,0,1300
Umrah Package Supplier,Imdad International Travel Agency,PKR,3500,0,1200,1100
Dubai Visa Agent,Noble Route,AED,700,0,0,700
Emirates,Noble Route,USD,220,0,0,220
Umrah Package Supplier,Noble Route,AED,1200,0,0,1200
